id,CVE,CVSS
410,CVE-2008-6066,7.5
411,CVE-2008-6075,7.5
412,CVE-2008-6100,6.8
413,CVE-2008-6196,7.5
414,CVE-2008-6203,7.5
415,CVE-2008-6205,4.3
416,CVE-2008-6206,7.5
417,CVE-2008-6208,4.3
418,CVE-2008-6211,4.3
419,CVE-2008-6212,4.3
420,CVE-2008-6217,4.3
421,CVE-2008-6300,7.5
422,CVE-2008-6442,5.8
423,CVE-2008-6478,6.8
424,CVE-2008-6491,7.5
425,CVE-2008-6550,4.3
426,CVE-2008-6573,6.8
427,CVE-2008-6596,7.5
428,CVE-2008-6597,4.3
429,CVE-2008-6615,7.5
430,CVE-2008-6616,4.3
431,CVE-2008-6640,7.5
432,CVE-2008-6802,7.5
433,CVE-2008-6837,7.5
434,CVE-2008-6838,4.3
435,CVE-2008-6839,4.3
436,CVE-2008-7078,9.0
437,CVE-2008-7132,4.3
438,CVE-2008-7133,4.3
439,CVE-2008-7139,6.8
440,CVE-2008-7140,4.3
441,CVE-2008-7141,4.3
442,CVE-2009-0038,4.3
443,CVE-2009-0053,4.3
444,CVE-2009-0054,4.3
445,CVE-2009-0055,6.8
446,CVE-2009-0056,6.8
447,CVE-2009-0087,9.3
448,CVE-2009-0100,9.3
449,CVE-2009-0550,9.3
450,CVE-2009-0557,9.3
451,CVE-2009-0560,9.3
452,CVE-2009-0561,9.3
453,CVE-2009-0563,9.3
454,CVE-2009-0565,9.3
455,CVE-2009-0732,5.0
456,CVE-2009-0849,7.5
457,CVE-2009-0901,9.3
458,CVE-2009-1134,9.3
459,CVE-2009-1304,5.0
460,CVE-2009-1460,4.6
461,CVE-2009-1467,4.3
462,CVE-2009-1481,7.5
463,CVE-2009-1553,4.3
464,CVE-2009-1557,4.3
465,CVE-2009-1782,6.8
466,CVE-2009-1785,4.3
467,CVE-2009-1833,9.3
468,CVE-2009-1917,9.3
469,CVE-2009-1918,10.0
470,CVE-2009-1919,9.3
471,CVE-2009-1928,7.8
472,CVE-2009-1929,9.3
473,CVE-2009-2052,7.8
474,CVE-2009-2145,4.3
475,CVE-2009-2160,5.0
476,CVE-2009-2359,7.5
477,CVE-2009-2412,10.0
478,CVE-2009-2428,7.5
479,CVE-2009-2429,4.6
480,CVE-2009-2439,7.5
481,CVE-2009-2493,9.3
482,CVE-2009-2499,8.5
483,CVE-2009-2631,6.8
484,CVE-2009-2688,10.0
485,CVE-2009-3017,4.3
486,CVE-2009-3192,4.3
487,CVE-2009-3803,4.3
488,CVE-2009-3817,7.5
489,CVE-2009-3849,10.0
490,CVE-2009-4083,4.3
491,CVE-2009-4088,6.8
492,CVE-2009-4115,6.5
493,CVE-2009-4249,2.6
494,CVE-2009-4385,6.8
495,CVE-2009-4433,4.3
496,CVE-2009-4537,7.8
497,CVE-2009-4908,4.3
498,CVE-2009-4939,4.3
499,CVE-2009-4943,5.0
500,CVE-2009-5155,7.5
501,CVE-2010-0018,9.3
502,CVE-2010-0108,10.0
503,CVE-2010-0149,7.8
504,CVE-2010-0150,7.8
505,CVE-2010-0152,4.3
506,CVE-2010-0249,9.3
507,CVE-2010-0440,4.3
508,CVE-2010-0567,5.0
509,CVE-2010-0568,7.1
510,CVE-2010-0569,7.8
511,CVE-2010-0685,5.0
512,CVE-2010-0816,9.3
513,CVE-2010-0820,9.0
514,CVE-2010-0988,6.0
515,CVE-2010-1217,4.3
516,CVE-2010-1263,9.3
517,CVE-2010-1326,9.3
518,CVE-2010-1425,5.0
519,CVE-2010-1433,9.8
520,CVE-2010-1516,9.3
521,CVE-2010-1517,10.0
522,CVE-2010-1591,7.2
523,CVE-2010-1879,9.3
524,CVE-2010-1900,9.3
525,CVE-2010-1901,9.3
526,CVE-2010-1902,9.3
527,CVE-2010-1916,7.5
528,CVE-2010-1940,4.3
529,CVE-2010-2094,6.8
530,CVE-2010-2281,4.3
531,CVE-2010-2317,7.5
532,CVE-2010-2525,7.8
533,CVE-2010-2545,4.3
534,CVE-2010-2939,4.3
535,CVE-2010-3023,4.3
536,CVE-2010-3025,4.3
537,CVE-2010-3062,5.0
538,CVE-2010-4168,5.0
539,CVE-2010-4466,5.0
540,CVE-2010-4696,7.5
541,CVE-2010-4712,10.0
542,CVE-2010-4752,6.8
543,CVE-2010-4818,8.5
544,CVE-2010-5231,6.9
545,CVE-2010-5232,6.9
546,CVE-2010-5282,4.3
547,CVE-2010-5305,9.8
548,CVE-2010-5331,7.8
549,CVE-2010-5332,5.6
550,CVE-2011-0340,9.3
551,CVE-2011-0379,7.9
552,CVE-2011-0394,7.8
553,CVE-2011-0533,4.3
554,CVE-2011-0745,4.0
555,CVE-2011-0775,5.0
556,CVE-2011-1546,7.5
557,CVE-2011-2710,4.3
558,CVE-2011-2730,7.5
559,CVE-2011-2942,6.8
560,CVE-2011-3010,4.3
561,CVE-2011-3209,4.9
562,CVE-2011-3211,9.3
563,CVE-2011-3598,4.3
564,CVE-2011-3645,7.5
565,CVE-2011-3838,7.5
566,CVE-2011-4340,3.5
567,CVE-2011-4805,4.3
568,CVE-2011-4814,4.3
569,CVE-2011-4898,5.0
570,CVE-2011-4899,7.5
571,CVE-2011-5111,7.5
572,CVE-2011-5177,4.3
573,CVE-2011-5258,4.3
574,CVE-2011-5327,9.8
575,CVE-2012-0035,9.3
576,CVE-2012-0039,5.0
577,CVE-2012-0782,4.3
578,CVE-2012-0829,6.0
579,CVE-2012-0991,3.5
580,CVE-2012-1788,4.3
581,CVE-2012-1845,9.3
582,CVE-2012-1846,10.0
583,CVE-2012-1854,6.9
584,CVE-2012-1987,3.5
585,CVE-2012-2936,4.3
586,CVE-2012-3949,7.8
587,CVE-2012-4024,6.8
588,CVE-2012-4237,6.8
589,CVE-2012-4238,2.1
590,CVE-2012-4246,4.3
591,CVE-2012-4247,4.3
592,CVE-2012-4771,4.3
593,CVE-2012-4891,4.3
594,CVE-2012-5167,7.5
595,CVE-2012-5676,10.0
596,CVE-2012-5677,10.0
597,CVE-2012-5678,10.0
598,CVE-2012-5893,6.8
599,CVE-2012-6529,7.5
600,CVE-2012-6610,8.8
601,CVE-2012-6711,7.8
602,CVE-2013-0232,7.5
603,CVE-2013-0339,6.8
604,CVE-2013-0340,6.8
605,CVE-2013-1359,9.8
606,CVE-2013-1599,9.8
607,CVE-2013-1636,4.3
608,CVE-2013-1656,4.3
609,CVE-2013-1806,6.5
610,CVE-2013-3213,7.5
611,CVE-2013-3343,10.0
612,CVE-2013-3444,9.0
613,CVE-2013-3664,9.3
614,CVE-2013-3956,7.2
615,CVE-2013-4099,10.0
616,CVE-2013-4174,4.3
617,CVE-2013-4550,5.1
618,CVE-2013-4669,5.4
